date,avg_sentiment,median_sentiment,sentiment_std,max_sentiment,min_sentiment,news_volume,sentiment_volume_weighted,topic_confidence_mean,price
2023-01-01,-0.019336264931054007,0.1872935120100203,0.28056807251721944,0.4660018013881529,-0.5138014883419211,8,0.11648197646179351,0.842307488324826,70.04400557738269
2023-01-02,-0.5041651725583113,0.2649747533998109,0.36814645424216985,0.6158562492006553,-0.13441436546474925,4,0.07248423285918584,0.6513204832173464,69.99776887523073
2023-01-03,-0.16215015197583366,0.19244885765590414,0.18272556746340152,0.7527815700010998,-0.42460732555713937,3,-0.19343530848949556,0.8039190472534643,70.22191680288589
2023-01-04,0.16950993178099927,0.4998759552612467,0.14827099708363473,0.4404863049880614,-0.3562002396449419,5,0.07893508459056553,0.5285215776889205,70.25863184388945
2023-01-05,-0.12500210829618705,0.2701815190125246,0.34016343485622996,0.7372944150899032,-0.4900382044340786,1,0.17846534261555436,0.4873267447397498,70.07114756328306
2023-01-06,0.3401115506213144,0.32087665810510146,0.24035911731982817,0.26924716987643244,-0.19607972930800416,2,-0.1026781664893005,0.7150860116752014,70.19770583250137
2023-01-07,0.25059956821098944,-0.1349659842941287,0.10968405841972025,0.6114558170541281,-0.24884816697106082,4,0.3956329847181077,0.6294273542508515,70.65410584829692
2023-01-08,-0.03808465895605895,0.02663094426550739,0.08497804698787546,0.6109803666541875,-0.2513821327398213,2,-0.04698263638938084,0.36234860843261246,70.98558418539216
2023-01-09,-0.11805398569401084,0.1407456455813807,0.3448670004557683,0.441023184617022,-0.18272448927808968,7,-0.1267720395589182,0.5243644906950553,70.73927685285972
2023-01-10,-0.2512002517569241,-0.004435559175823409,0.39416493395156993,0.13903097498199282,-0.4811150970263155,4,0.059275807681586315,0.35431810458265056,70.2963793379936
2023-01-11,-0.17499163557833117,0.07540880829330895,0.4061448313134052,0.30896343652822006,-0.7047313270081903,5,-0.0515178968279192,0.5045255415934728,70.07823327610552
2023-01-12,-0.3682857686664063,0.10652619153364216,0.25403560299388145,0.23268009459138136,-0.14565324468139612,6,-0.2734345628210968,0.5838447888545042,70.09269736887705
2023-01-13,0.3010990728832711,0.21106097942038382,0.11138182654585888,0.7735028954120677,-0.5235820115511413,1,-0.005231357304593677,0.5309758297372978,69.27893659775346
2023-01-14,0.39767519678151547,-0.02540222269250598,0.1402629649113912,0.5156979687803687,-0.24658990715483364,1,0.3191404881796811,0.6120717219119424,69.20235951537707
2023-01-15,-0.3140345174319332,-0.08744980384797031,0.23140955560837406,0.7272302694095933,-0.009227272500346207,6,0.40050646348796726,0.36473771934458116,68.76629068383849
2023-01-16,-0.2954207439216158,-0.20707891255413766,0.39074294944224547,0.23692781570750984,-0.23859061164417197,2,-0.11340829209814457,0.8244575660083509,68.50999710969229
